Words,Count
Next,19
verb,19
buffer,19
heuristics,19
container,19
expose,19
wrote,19
tions,19
Invalid,19
places,19
taken,19
avoid,19
David,19
descriptive,19
failures,19
months,19
big,19
Smells,19
around,19
generated,19
Some,19
Once,18
B-l,18
columns,18
January,18
dates,18
matter,18
yyyy,18
four,18
improve,18
hidden,18
breaking,18
Responsibility,18
Every,18
APIs,18
off,18
passing,18
calling,18
Objects,18
won,18
users,18
paths,18
errorMessage,18
input,18
ways,18
tenthsWorked,18
significant,18
F,18
hours,18
intentionally,18
Perhaps,18
pro-,18
special,18
specific,18
fExpected,18
END,18
requirements,18
issue,18
someone,18
separation,18
follows,18
happens,18
build,18
away,18
supplied,18
carefully,17
harder,17
idea,17
expressive,17
junit,17
PageOne,17
xml,17
Collection,17
Account,17
Column,17
moving,17
io,17
ments,17
steps,17
threading,17
conditions,17
closed,17
si,17
getFollowingDayOfWeek,17
isn,17
'x',17
group,17
says,17
dependency,17
prefixLength,17
setStringArg,17
He,17
O,17
knows,17
Most,17
almost,17
shape,17
loop,17
ignore,17
meaning,17
deadlock,17
existing,17
failed,17
max,17
effect,17
Refinery,17
Robert,17
dparam,17
TDD,17
Rather,17
monthCodeToQuarter,17
Can,17
Demeter,17
representing,17
Limited,17
declarations,16
Web,16
Systems,16
serverSocket,16
MARCH,16
Clearly,16
GNU,16
port,16
block,16
HourlyEmployee,16
cleaner,16
FORMAT,16
story,16
Vertical,16
early,16
DOUBLE,16
expectedSuffix,16
deleted,16
atomic,16
ment,16
quite,16
define,16
SRP,16
responsibility,16
seen,16
reasonable,16
performance,16
getMonth,16
looks,16
intArgs,16
FitNesseContext,16
messy,16
implement,16
business,16
quickly,16
toString,16
becomes,16
M,16
far,16
persistence,16
primes,16
Framework,16
Final,16
jfree,16
coding,16
image,16
tolnt,16
Many,16
GOF,16
rest,16
Dave,16
strings,16
correct,16
path,15
learning,15
getEndOfCurrentMonth,15
More,15
reasons,15
com-,15
NumberFormatException,15
low,15
Set,15
Again,15
WikiPagePath,15
express,15
inside,15
frame,15
readability,15
techniques,15
bank,15
HTML,15
id,15
understanding,15
setup,15
everything,15
Fixed,15
Useful,15
step,15
allows,15
Sreturn,15
stem,15
Note,15
Sy,15
Inc,15
effort,15
generally,15
complex,15
conventions,15
seem,15
getDayOfMonth,15
real,15
nextValue,15
Parameter,15
imports,15
connection,15
concrete,15
stream,15
increase,15
certain,15
forms,15
agree,15
original,15
nicely,15
blocks,15
algorithms,15
PPP,15
total,15
temporal,15
decisions,15
continue,15
Testing,15
great,15
mm,15
Function,15
addDays,15
Lesser,15
give,15
shown,15
leads,15
MetaObject,15
JUNE,15
across,15
expects,15
dirty,15
usage,15
limit,15
MAY,14
configuration,14
professional,14
complexity,14
report,14
ordinal,14
Page,14
art,14
Gilbert,14
Copyright,14
Meaningful,14
Are,14
open,14
getPreviousDayOfWeek,14
targetDOW,14
th,14
E,14
search,14
easily,14
Keep,14
serve,14
ourselves,14
development,14
building,14
pay,14
Recommendation,14
employees,14
started,14
larger,14
isSuite,14
forth,14
critical,14
MISS,14
re,14
Excel,14
MessageUtils,14
readable,14
K,14
y,14
ING,14
worth,14
trivial,14
risk,14
utilities,14
sections,14
behind,14
Runnable,14
aspects,14
cardinality,14
starting,14
comes,14
along,14
NOVEMBER,14
fixLength,14
OCTOBER,14
pr,14
act,14
IOException,14
delete,14
TestCase,14
depend,14
applications,13
full,13
getMonthO,13
greturn,13
PageTwo,13
DateFormatSymbols,13
z,13
WikiPage,13
getDayOfWeek,13
Remember,13
higher,13
individual,13
ago,13
By,13
Project,13
especially,13
fast,13
DAYS,13
instances,13
previous,13
getYYYY,13
target,13
Dependency,13
rid,13
File,13
encoding,13
fear,13
EJBException,13
weekday,13
Container,13
falls,13
truly,13
compareTo,13
parseSchema,13
eliminating,13
interfaces,13
goal,13
pfx,13
RelativeDayOfWeekRule,13
A-,13
JCommon,13
Writing,13
lineCount,13
With,13
meaningful,13
returned,13
world,13
implemented,13
POJOs,13
Methods,13
access,13
compactExpected,13
contextLength,13
Yet,13
designed,13
ten,13
JULY,13
AUGUST,13
known,13
SEPTEMBER,13
master,13
R,13
signature,13
caller,13
width,13
o,13
functionality,13
compactActual,13
belong,13
contains,13
dayOfWeek,13
focus,13
reference,13
parsed,13
goes,13
AspectJ,13
components,13
abstractions,13
member,13
targetWeekday,13
reads,13
poor,13
Constant,12
Possible,12
net,12
intended,12
NAME,12
completely,12
series,12
kept,12
designs,12
ability,12
Good,12
fixed,12
exposes,12
Implementation,12
interesting,12
gives,12
TILT,12
Second,12
show,12
subtle,12
saw,12
StringToWeekdayCode,12
keyword,12
threaded,12
worse,12
helps,12
responsible,12
SuperDashboard,12
various,12
independent,12
print,12
Pattern,12
crawler,12
amount,12
Rule,12
took,12
Free,12
subrule,12
Boundaries,12
answer,12
certainly,12
codes,12
proxies,12
five,12
unexpectedArguments,12
precise,12
Serializable,12
enums,12
ConsoleAppender,12
tool,12
option,12
empty,12
al,12
schedule,12
provided,12
body,12
mar,12
said,12
setlntArg,12
happen,12
fPrefix,12
gparam,12
magic,12
straightTime,12
DELTA,12
plusDays,12
argsList,12
byte-code,12
offsetToTarget,12
containsKey,12
tiny,12
thinking,12
hr,12
operand,12
Run,12
related,12
toSerial,12
Bob,12
passes,12
resultYear,12
executed,12
city,12
adds,12
Class,12
depends,12
attention,11
ordering,11
cohesion,11
Change,11
Ward,11
domain-specific,11
NoSuchElementException,11
err,11
ring,11
decision,11
force,11
otherwise,11
including,11
pluralModifier,11
Dependencies,11
negative,11
fine,11
view,11
isln,11
prefer,11
extra,11
flag,11
hasNext,11
lost,11
Simple,11
Programmers,11
et,11
Did,11
managers,11
debugging,11
attribute,11
normal,11
getErrorCode,11
Example,11
further,11
parseArguments,11
practices,11
points,11
invalid,11
Oriented,11
English,11
LAST,11
runtime,11
shalers,11
AGGREGATE,11
logical,11
Method,11
noise,11
Client,11
hierarchy,11
convenient,11
share,11
load,11
Imagine,11
maintain,11
trim,11
coverage,11
earlier,11
duplicate,11
characters,11
discipline,11
ChildOne,11
percent,11
baseDOW,11
automated,11
chance,11
apply,11
wanted,11
shortened,11
hiding,11
Javadoc,11
integers,11
causes,11
lineSize,11
term,11
-bit,11
item,11
lose,11
sfx,11
println,11
extract,11
actualSuffix,11
Executor,11
Contents,11
findCommonPrefix,11
strange,11
cost,11
aware,11
XML,11
experience,11
Abstraction,11
teams,11
trademark,11
release,11
Have,11
hw,11
parseArgument,11
demonstrate,11
power,10
Concurrent,10
formatter,10
renaming,10
Y,10
newPageContent,10
figure,10
Given,10
collection,10
url,10
forces,10
putting,10
separated,10
calculatePay,10
Practices,10
proxy,10
Right,10
Too,10
Where,10
Fowler,10
mixed,10
findCommonSuf,10
overTime,10
bean,10
IndexOutOfBoundsException,10
contain,10
ignored,10
modify,10
Array,10
S,10
command,10
printStream,10
fails,10
perhaps,10
parseElements,10
Foundation,10
Nl,10
implies,10
hope,10
queue,10
quick,10
improvement,10
Stack,10
maxValue,10
supported,10
thread-safe,10
explanatory,10
crossedOut,10
Although,10
Such,10
Than,10
W,10
scalingFactor,10
ORDINAL,10
Still,10
scopes,10
V,10
lists,10
Learning,10
Therefore,10
parseElement,10
greater,10
charFromEnd,10
spend,10
BobsSerialDateTest,10
super,10
Finally,10
references,10
Information,10
Threaded,10
getAccounts,10
PER,10
CLOSED,10
assert,10
Microsoft,10
articles,10
cleaning,10
properties,10
decide,10
Logger,10
future,10
Up,10
grow,10
validateSchemaElementld,10
enumeration,10
DI,10
zero,10
choosing,10
standards,10
targetDayOfWeek,10
bottom,10
account,10
getDayOfMonthO,10
SYMBOLS,10
Javadocs,10
SetupTeardownlncluder,10
nature,10
wiki,10
pageName,10
Instead,10
wrapping,10
today,10
job,10
assertSubString,9
seconds,9
PrimeGenerator,9
horizontal,9
unexpected,9
described,9
Separation,9
FOLLOWING,9
lower,9
appears,9
FitNesseExpediter,9
minimize,9
correctly,9
height,9
operator,9
hold,9
independently,9
corresponding,9
record,9
Gamma,9
SimpleResponse,9
examples,9
Elements,9
session,9
StockExchange,9
newspaper,9
ought,9
one-offs,9
toward,9
Add,9
assume,9
NEAREST,9
dreturn,9
todo,9
represent,9
radius,9
Contributors,9
Unit,9
confusing,9
useless,9
javadocs,9
Context,9
Does,9
themselves,9
implementing,9
solve,9
behaviors,9
potential,9
Knuth,9
boundaries,9
environments,9
coupled,9
X,9
dependent,9
g,9
pi,9
Between,9
simpler,9
tend,9
definition,9
notice,9
eliminated,9
nearly,9
starts,9
generate,9
Handling,9
isInRange,9
exist,9
reuse,9
reported,9
forward,9
Exceptions,9
replaced,9
Sensor,9
options,9
Hall,9
dead,9
draft,9
finding,9
assertEguals,9
bits,9
States,9
isolated,9
Active,9
compile,9
derivative,9
commented,9
United,9
removed,9
outside,9
asked,9
Thomas,9
elements,9
expressiveness,9
beyond,9
L,9
policy,9
w,9
repository,9
Uncle,9
Bjarne,9
November,9
finish,9
Horizontal,9
well-known,9
operating,9
nested,9
finally,9
toStringO,9
unexpectedArgumentMessage,9
HourlyReporter,9
bound,9
getMonths,9
integerValue,9
PageData,9
indentation,9
Choose,9
maintenance,9
deep,9
ugly,9
Draft,9
commented-out,9
setBoolean,9
waiting,9
argu-,9
pagePathName,9
closely,9
ensure,9
Duplication,9
question,9
nor,9
fully,9
address,9
dateFormatSymbols,9
Rough,9
Variables,9
ix,9
Monday,9
Breaking,9
space,9
Saturday,9
copy,9
weekdayCodeToString,9
Wait,9
Execution,9
ectmentor,9
mind,9
studies,9
company,9
operations,9
Internals,9
moment,9
recognize,8
cleanliness,8
isValidWeekdayCode,8
industry,8
street,8
Try,8
product,8
float,8
en,8
Making,8
oos,8
wikipedia,8
Throughput,8
fundamental,8
situation,8
keepProcessing,8
parseSchemaElement,8
arbitrary,8
ClassWithThreadingProblem,8
offsetToFutureTarget,8
compiler,8
multiplesOfPrimeFactors,8
Getting,8
getTenthsWorked,8
sufficient,8
wikiPage,8
turn,8
nearest,8
Long,8
getO,8
underestimatedYYYY,8
ion,8
Prentice,8
explain,8
firstlndexOnPage,8
yield,8
getMessage,8
serves,8
Boston,8
Boy,8
getlnt,8
Added,8
placed,8
Comparable,8
DoubleArgumentMarshaler,8
detection,8
Threads,8
Comment,8
front,8
allowed,8
expression,8
require,8
approaches,8
direct,8
Original,8
SECOND,8
concern,8
deployment,8
organization,8
SUPPORTED,8
FIRST,8
setAccounts,8
tag,8
focused,8
seSchemaElement,8
Datelnterval,8
square,8
impact,8
startup,8
automatically,8
Portfolio,8
Id,8
fewer,8
preceding,8
asserts,8
exchange,8
depending,8
dyadic,8
definitions,8
elegant,8
Factory,8
kinds,8
Paths,8
developer,8
stories,8
looking,8
huge,8
life,8
Friday,8
cd,8
getMaximumYear,8
Forty,8
getStateO,8
global,8
GregorianCalendar,8
locked,8
getValue,8
Write,8
decoupled,8
physical,8
listing,8
robust,8
cross,8
Their,8
tested,8
Command,8
addPage,8
decoupling,8
CPU,8
responder,8
minutes,8
perfect,8
box,8
addition,8
convert,8
rot,8
dateSymbols,8
odd,8
l-Jan-,8
assignment,8
whose,8
visible,8
Circle,8
lastldUsed,8
Thing,8
sizes,8
legal,8
Also,8
greatly,8
Eventually,8
closelgnoringException,8
fer,8
explains,8
whereas,8
ordinalDay,8
firstOrdinalOfYear,8
equivalent,8
computer,8
Inversion,8
processes,8
Level,8
ParentWidget,8
username,8
permutations,8
returning,8
stay,8
resultDay,8
event,8
utility,8
FilelnputStream,8
Standard,8
complicated,8
collections,8
majority,8
accurate,8
sets,8
INCLUDE,8
configurations,8
natural,8
SimpleDateFormat,8
turns,8
safe,8
ones,8
BoldWidget,8
instructions,8
subclass,8
runnable,8
prefix,8
creates,8
track,8
machine,8
surprise,7
Er,7
pile,7
getErrorArgumentld,7
happened,7
IDEs,7
chosen,7
refactor,7
looked,7
requestProcessor,7
Scout,7
isLetter,7
clever,7
built,7
tables,7
scratch,7
showed,7
article,7
situations,7
Equivalent,7
PRAG,7
benefit,7
JVM,7
festering,7
lead,7
Michael,7
falselfNull,7
mechanism,7
manage,7
decided,7
fromlnt,7
tracks,7
iteration,7
DateUtil,7
describes,7
beginning,7
discussion,7
Nowadays,7
violates,7
tangled,7
defaults,7
weeks,7
pageHeader,7
told,7
isBooleanSchemaElement,7
acquired,7
weekDayNames,7
degree,7
evil,7
ClassCastException,7
machines,7
Reusable,7
Take,7
PAGEOFFSET,7
executing,7
failing,7
aMonth,7
ORD,7
single-letter,7
frequently,7
specifying,7
equal,7
execute,7
PAGE,7
RowColumnPagePrinter,7
StringBuf,7
rowsPerPage,7
Constants,7
basic,7
structured,7
contained,7
phrase,7
anyone,7
ask,7
irrelevant,7
recently,7
implied,7
low-level,7
forget,7
began,7
Hungarian,7
sensors,7
screen,7
Version,7
lazy,7
sequence,7
differences,7
went,7
IDE,7
header,7
versus,7
title,7
isBooleanArg,7
portfolio,7
select,7
waits,7
isStringSchemaElement,7
combination,7
associated,7
acquire,7
compare,7
lastid,7
dis-,7
improved,7
Look,7
customer,7
Output,7
dOverride,7
pagePath,7
generics,7
Lea,7
February,7
communicate,7
Mutual,7
talk,7
registry,7
prove,7
begin,7
clarity,7
Deadlock,7
exposing,7
improving,7
eyes,7
lies,7
jar,7
task,7
technical,7
accessors,7
OO,7
implementations,7
intf,7
sys-,7
procedural,7
via,7
meant,7
typical,7
Driven,7
expressions,7
neither,7
simplified,7
annotations,7
SpreadsheetDateFactory,7
shrink,7
Break,7
composed,7
head,7
properly,7
internal,7
price,7
nov,7
Rules,7
testPage,7
none,7
topic,7
Which,7
Just,7
directory,7
additional,7
particularly,7
maximum,7
achieve,7
Extreme,7
multiples,7
relatively,7
exactly,7
note,7
producer,7
distance,7
memory,7
relativeToString,7
SerialDateTests,7
available,7
weeklnMonthToString,7
nice,7
essentially,7
December,7
solutions,7
Injection,7
determinant,7
wide,7
puts,7
checks,7
lineWidthHistogram,7
present,7
prime,7
white,7
multithreaded,7
asking,7
Having,7
H,7
earliest,7
obscured,7
tm,7
platform,7
affinity,7
DIP,7
productivity,7
Open,7
worst,7
modern,7
AnnualDateRule,7
imple-,7
experienced,7
declaration,7
strongly,7
messages,7
professionals,7
monadic,7
ELLIPSIS,7
pool,7
felt,7
currentValue,7
ConTest,7
Library,7
zip,7
major,7
Know,7
domains,7
cell,7
disciplines,7
command-line,7
Total,7
fActual,7
analysis,7
clearer,7
braces,7
Address,7
beans,7
getMinimumYear,7
attempt,7
third,7
followed,7
JBoss,7
since,7
abc,7
CAS,7
frameworks,7
avoided,7
polymorphic,7
fields,7
study,7
thrown,7
warranty,6
START,6
shortWeekdayNames,6
professionalism,6
Request,6
exact,6
setups,6
operators,6
Eric,6
unless,6
findCommonPrefixAndSuffix,6
Closed,6
school,6
Cost,6
introduces,6
equalsIgnoreCase,6
Wednesday,6
fContextLength,6
expenses,6
Implemented,6
getWeekdays,6
latest,6
trust,6
Hunt,6
Mess,6
technique,6
Owning,6
suffixlndex,6
perform,6
window,6
D,6
ACMEPort,6
Envy,6
absolute,6
accept,6
builds,6
typically,6
repeated,6
Switch,6
versions,6
benefits,6
shame,6
executable,6
jcommon,6
continuous,6
supports,6
SERIAL,6
Create,6
unable,6
ArgumentMarshaller,6
gone,6
eventually,6
Time,6
paper,6
isValidMonthCode,6
ba,6
tr,6
THIRD,6
snippet,6
monthlndex,6
worry,6
craftsmanship,6
chain,6
modified,6
flaggedCells,6
object-oriented,6
Property,6
RecordedGrip,6
getPageCrawler,6
May,6
Pragmatic,6
Locking,6
history,6
Sun,6
powerful,6
Tomcat,6
managing,6
relevant,6
picture,6
MA,6
rare,6
Street,6
sl,6
duplicates,6
includes,6
ID,6
-May-,6
Before,6
Changes,6
tempted,6
CD,6
setters,6
opposed,6
received,6
interrupted,6
alone,6
throughout,6
ture,6
document,6
held,6
terminal,6
minimal,6
hello,6
simplicity,6
encapsulated,6
according,6
processor,6
urls,6
getDate,6
Geometry,6
Eclipse,6
slow,6
Boundary,6
complain,6
flags,6
deeply,6
getContent,6
Who,6
character,6
formatCompactedComparison,6
Foreword,6
compactExpectedAndActual,6
tells,6
alignment,6
deploy,6
Full,6
Introduction,6
Examples,6
June,6
published,6
tight,6
parselnt,6
interval,6
plain,6
Without,6
getters,6
documentation,6
spot,6
Any,6
throwing,6
reflect,6
taking,6
NullPointerException,6
drive,6
Lock,6
covered,6
sender,6
indCommonPref,6
Practice,6
paragraphs,6
metaphor,6
tasks,6
missing,6
Smalltalk,6
My,6
WeeklnMonth,6
unnecessary,6
validating,6
containers,6
SerialDateTest,6
seldom,6
million,6
mechanisms,6
matters,6
MULT,6
calculating,6
server-based,6
mental,6
resultMonth,6
sleep,6
orderings,6
guaranteed,6
supporting,6
position,6
HtmlTag,6
Define,6
possibly,6
forks,6
Returning,6
BDUF,6
Following,6
ahead,6
smells,6
Other,6
precision,6
considered,6
inappropriate,6
Abstract,6
trimmedElement,6
jiggling,6
deleting,6
containing,6
Feathers,6
Servlet,6
single-threaded,6
beautiful,6
tenthRate,6
parameters,6
Noise,6
encodings,6
startsWith,6
Three,6
hint,6
included,6
sized,6
struc-,6
invocation,6
service,6
reduce,6
query,6
ServerSocket,6
Creates,6
overhead,6
effectively,6
Working,6
getDouble,6
occur,6
person,6
violation,6
notion,6
Languages,6
column,6
lastlndexOnPage,6
newlmage,6
columnsPerPage,6
unclebob,6
soon,6
leaving,6
pure,6
nonthreaded,6
Repeat,6
Yourself,6
idioms,6
imageDimension,6
Nov,6
desiredDimension,6
Nothing,6
Structures,6
thereby,6
straightPay,6
caused,6
choice,6
platforms,6
obsolete,6
Q,6
organized,6
Collections,6
Language,6
detect,6
synchronization,6
addMonthsd,6
features,6
clientConnection,6
strategies,6
Slink,6
lastDay,6
opportunity,6
'relative',6
limited,6
enforce,6
attributes,6
shut,6
connections,6
maybe,6
getYearO,6
eye,6
manual,6
Gil,6
Corollary,6
cards,6
cross-cutting,6
nonblocking,6
testable,6
Flag,6
primary,6
replacing,6
HourlyReportFormatter,6
JDK,6
dd,6
ss,6
Local,6
HashSet,6
updated,6
Domain-Specific,6
cohesive,6
Grady,6
Third,6
POJO,6
headers,6
rated,6
heuristic,6
starvation,6
writeField,6
center,6
ple,6
lack,6
writers,6
Ron,6
calculations,6
jan,5
Sets,5
fall,5
score,5
TPM,5
Big,5
thread-based,5
SocketException,5
paid,5
bigger,5
Someone,5
Banklmpl,5
Integerlterator,5
noisy,5
InputStream,5
iterations,5
device,5
printf,5
Increasing,5
calculateWeeklyPay,5
suffix,5
push,5
registered,5
DTOs,5
ideas,5
-Jan-,5
Emergence,5
getString,5
apache,5
density,5
DeviceController,5
HashTable,5
Obj,5
anymore,5
priority,5
quality,5
bases,5
'other',5
Shape,5
Exp,5
home,5
ls,5
misplaced,5
